timestamp,temp,coppia
1.69262E+12,82.7,0.37
1.69262E+12,79.98,0.28
1.69262E+12,102.4,0.04
1.69262E+12,102.4,0.04
1.69262E+12,95.76,0.32
1.69262E+12,95.35,0.24
1.69262E+12,104.1,0.03
1.69262E+12,104.05,0.03
1.69262E+12,82.72,0.39
1.69262E+12,75.44,0.14
1.69262E+12,69.65,0.04
1.69262E+12,80.97,0.08
1.69262E+12,89.36,0.43
1.69262E+12,102.67,0.07
1.69262E+12,102.23,0.03
1.69262E+12,94.27,0.08
1.69262E+12,90.38,0.4
1.69262E+12,101.6,0.03
1.69262E+12,102.2,0.03
1.69262E+12,101.2,0.23
1.69262E+12,86.6,0.31
1.69262E+12,76.8,0.05
1.69262E+12,76.55,0.05
1.69262E+12,88.67,0.28
1.69262E+12,96.36,0.31
1.69262E+12,102.25,0.04
1.69262E+12,102.2,0.04
1.69262E+12,89.64,0.39
1.69262E+12,92.6,0.2
1.69262E+12,90.77,0.05
1.69262E+12,95.1,0.07
1.69262E+12,83.27,0.45
1.69262E+12,97.62,0.16
1.69262E+12,96.9,0.04
1.69262E+12,79.97,0.14
1.69262E+12,90.66,0.4
1.69262E+12,102.27,0.03
1.69262E+12,102,0.03
1.69262E+12,97.15,0.25
1.69262E+12,82.32,0.34
1.69262E+12,80.3,0.04
1.69262E+12,80.8,0.04
1.69262E+12,95.92,0.36
1.69262E+12,96.52,0.26
1.69262E+12,101.9,0.03
1.69262E+12,101.85,0.03
1.69262E+12,90.62,0.36
1.69262E+12,96.44,0.18
1.69262E+12,102.3,0.03
1.69262E+12,102.3,0.03
1.69262E+12,95.25,0.32
1.69262E+12,96.86,0.17
1.69262E+12,97.2,0.03
1.69262E+12,98.25,0.11
1.69262E+12,87.58,0.42
1.69262E+12,93.8,0.05
1.69262E+12,90.6,0.03
1.69262E+12,95.95,0.11
1.69262E+12,89.88,0.43
1.69262E+12,100.28,0.05
1.69262E+12,102.4,0.04
1.69262E+12,100.93,0.25
1.69262E+12,85.06,0.27
1.69262E+12,80.43,0.05
1.69262E+12,80.7,0.05
1.69262E+12,86.94,0.32
1.69262E+12,99.2,0.25
1.69262E+12,94.4,0.04
1.69262E+12,94.2,0.04
1.69262E+12,90.26,0.4
1.69262E+12,98.98,0.12
1.69262E+12,102.55,0.03
1.69262E+12,102.8,0.06
1.69262E+12,89.52,0.43
1.69262E+12,84.58,0.06
1.69262E+12,91.4,0.04
1.69262E+12,82.74,0.07
1.69262E+12,77.92,0.39
1.69262E+12,77.15,0.03
1.69262E+12,86.73,0.03
1.69262E+12,98,0.22
1.69262E+12,102.75,0.33
1.69262E+12,102.55,0.04
1.69262E+12,84.8,0.04
1.69262E+12,80.3,0.27
1.69262E+12,93.85,0.33
1.69262E+12,94,0.05
1.69262E+12,92.4,0.05
1.69262E+12,96.58,0.38
1.69262E+12,91.1,0.16
1.69262E+12,79.4,0.03
1.69262E+12,97.53,0.09
1.69262E+12,86.26,0.42
1.69262E+12,102.4,0.17
1.69262E+12,89.4,0.05
1.69262E+12,96.98,0.15
1.69262E+12,74.14,0.4
1.69262E+12,76.9,0.03
1.69262E+12,94.67,0.03
1.69262E+12,91.88,0.2
1.69262E+12,100.5,0.33
1.69262E+12,99.97,0.03
1.69262E+12,88.52,0.03
1.69262E+12,94.76,0.26
1.69262E+12,102.3,0.26
1.69262E+12,102.25,0.03
1.69262E+12,96.77,0.03
1.69262E+12,80.62,0.34
1.69262E+12,80.2,0.18
1.69262E+12,80.35,0.03
1.69262E+12,88.12,0.02
1.69262E+12,99.98,0.34
1.69262E+12,103.1,0.11
1.69262E+12,102,0.04
1.69262E+12,90.3,0.09
1.69262E+12,100.32,0.44
1.69262E+12,102.3,0.05
1.69262E+12,100.77,0.03
1.69262E+12,83.77,0.15
1.69262E+12,73.04,0.42
1.69262E+12,66.15,0.05
1.69262E+12,87.15,0.03
1.69262E+12,95.3,0.29
1.69262E+12,103.4,0.29
1.69262E+12,103.45,0.03
1.69262E+12,94.17,0.02
1.69262E+12,90.65,0.3
1.69262E+12,102.27,0.24
1.69262E+12,102.3,0.04
1.69262E+12,92.3,0.03
1.69262E+12,75.82,0.4
1.69262E+12,62.45,0.13
1.69262E+12,66.95,0.05
1.69262E+12,90.44,0.08
1.69262E+12,90.1,0.42
1.69262E+12,103.37,0.06
1.69262E+12,103.85,0.03
1.69262E+12,95.04,0.08
1.69262E+12,102.55,0.4
1.69262E+12,102.17,0.04
1.69262E+12,80.4,0.04
1.69262E+12,82.38,0.23
1.69262E+12,72.83,0.32
1.69262E+12,73.2,0.03
1.69262E+12,87.73,0.03
1.69262E+12,96.22,0.27
1.69262E+12,103.4,0.33
1.69262E+12,103.4,0.04
1.69262E+12,85.5,0.04
1.69262E+12,93.5,0.38
1.69262E+12,102.35,0.17
1.69262E+12,102.45,0.03
1.69262E+12,88.03,0.07
1.69262E+12,71.66,0.42
1.69262E+12,52.05,0.17
1.69262E+12,86.07,0.04
1.69262E+12,82.82,0.17
1.69262E+12,103.6,0.41
1.69262E+12,87.1,0.03
1.69262E+12,97.98,0.03
1.69262E+12,102.55,0.34
1.69262E+12,102.35,0.33
1.69262E+12,93.42,0.03
1.69262E+12,66.52,0.02
